Kỳ,Thứ,Ngày,Giờ,Bộ Số,ĐB,Hiển thị,Loại,Link cập nhật,Ngày cập nhật
1202,Thứ 6,24/05/2024,,"2,14,15,17,23,40",,02 14 15 17 23 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-05-2024.html,24/05/2024
1201,Thứ 4,22/05/2024,,"2,3,10,22,41,43",,02 03 10 22 41 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-05-2024.html,22/05/2024
1200,Chủ Nhật,19/05/2024,,"5,19,25,35,37,39",,05 19 25 35 37 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-05-2024.html,19/05/2024
1199,Thứ 6,17/05/2024,,"8,22,27,29,39,43",,08 22 27 29 39 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-05-2024.html,17/05/2024
1198,Thứ 4,15/05/2024,,"3,11,13,21,24,34",,03 11 13 21 24 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-05-2024.html,15/05/2024
1197,Chủ Nhật,12/05/2024,,"3,5,6,9,32,45",,03 05 06 09 32 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-12-05-2024.html,12/05/2024
1196,Thứ 6,10/05/2024,,"12,13,31,38,42,43",,12 13 31 38 42 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-05-2024.html,10/05/2024
1195,Thứ 4,08/05/2024,,"2,10,13,22,30,34",,02 10 13 22 30 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-05-2024.html,08/05/2024
1194,Chủ Nhật,05/05/2024,,"10,12,14,16,21,39",,10 12 14 16 21 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-05-05-2024.html,05/05/2024
1193,Thứ 6,03/05/2024,,"1,13,14,21,27,43",,01 13 14 21 27 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-05-2024.html,03/05/2024
1192,Thứ 4,01/05/2024,,"7,9,17,20,25,29",,07 09 17 20 25 29,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-05-2024.html,01/05/2024
1191,Chủ Nhật,28/04/2024,,"1,13,14,22,23,37",,01 13 14 22 23 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-04-2024.html,28/04/2024
1190,Thứ 6,26/04/2024,,"2,3,25,34,35,38",,02 03 25 34 35 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-04-2024.html,26/04/2024
1189,Thứ 4,24/04/2024,,"7,21,30,33,38,39",,07 21 30 33 38 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-04-2024.html,24/04/2024
1188,Chủ Nhật,21/04/2024,,"7,21,36,38,40,45",,07 21 36 38 40 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-04-2024.html,21/04/2024
1187,Thứ 6,19/04/2024,,"2,3,20,21,32,33",,02 03 20 21 32 33,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-04-2024.html,19/04/2024
1186,Thứ 4,17/04/2024,,"9,16,26,27,32,41",,09 16 26 27 32 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-04-2024.html,17/04/2024
1185,Chủ Nhật,14/04/2024,,"7,12,16,29,42,45",,07 12 16 29 42 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-14-04-2024.html,14/04/2024
1184,Thứ 6,12/04/2024,,"6,17,18,26,43,45",,06 17 18 26 43 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-12-04-2024.html,12/04/2024
1183,Thứ 4,10/04/2024,,"2,10,30,33,34,40",,02 10 30 33 34 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-04-2024.html,10/04/2024
1182,Chủ Nhật,07/04/2024,,"3,11,15,17,24,35",,03 11 15 17 24 35,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-07-04-2024.html,07/04/2024
1181,Thứ 6,05/04/2024,,"14,18,22,29,36,37",,14 18 22 29 36 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-05-04-2024.html,05/04/2024
1180,Thứ 4,03/04/2024,,"7,11,14,22,29,34",,07 11 14 22 29 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-04-2024.html,03/04/2024
1179,Chủ Nhật,31/03/2024,,"5,12,13,17,40,41",,05 12 13 17 40 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-31-03-2024.html,31/03/2024
1178,Thứ 6,29/03/2024,,"4,7,25,34,35,38",,04 07 25 34 35 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-03-2024.html,29/03/2024
1177,Thứ 4,27/03/2024,,"6,29,31,35,42,44",,06 29 31 35 42 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-03-2024.html,27/03/2024
1176,Chủ Nhật,24/03/2024,,"1,14,22,28,32,42",,01 14 22 28 32 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-03-2024.html,24/03/2024
1175,Thứ 6,22/03/2024,,"5,6,11,20,24,45",,05 06 11 20 24 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-03-2024.html,22/03/2024
1174,Thứ 4,20/03/2024,,"8,14,26,28,43,45",,08 14 26 28 43 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-03-2024.html,20/03/2024
1173,Chủ Nhật,17/03/2024,,"1,3,5,26,30,42",,01 03 05 26 30 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-03-2024.html,17/03/2024
1172,Thứ 6,15/03/2024,,"9,11,16,29,31,33",,09 11 16 29 31 33,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-03-2024.html,15/03/2024
1171,Thứ 4,13/03/2024,,"1,13,25,30,34,40",,01 13 25 30 34 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-03-2024.html,13/03/2024
1170,Chủ Nhật,10/03/2024,,"4,12,19,23,36,41",,04 12 19 23 36 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-03-2024.html,10/03/2024
1169,Thứ 6,08/03/2024,,"2,26,28,40,41,45",,02 26 28 40 41 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-03-2024.html,08/03/2024
1168,Thứ 4,06/03/2024,,"11,15,34,39,41,43",,11 15 34 39 41 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-03-2024.html,06/03/2024
1167,Chủ Nhật,03/03/2024,,"3,10,17,20,22,27",,03 10 17 20 22 27,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-03-2024.html,03/03/2024
1166,Thứ 6,01/03/2024,,"20,22,24,26,28,37",,20 22 24 26 28 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-03-2024.html,01/03/2024
1165,Thứ 4,28/02/2024,,"1,10,21,25,32,39",,01 10 21 25 32 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-02-2024.html,28/02/2024
1164,Chủ Nhật,25/02/2024,,"5,7,10,12,15,26",,05 07 10 12 15 26,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-02-2024.html,25/02/2024
1163,Thứ 6,23/02/2024,,"4,17,19,27,28,36",,04 17 19 27 28 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-23-02-2024.html,23/02/2024
1162,Thứ 4,21/02/2024,,"2,8,14,19,24,42",,02 08 14 19 24 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-02-2024.html,21/02/2024
1161,Chủ Nhật,18/02/2024,,"5,19,20,21,24,40",,05 19 20 21 24 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-02-2024.html,18/02/2024
1160,Thứ 6,16/02/2024,,"6,10,16,20,40,42",,06 10 16 20 40 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-16-02-2024.html,16/02/2024
1159,Thứ 4,14/02/2024,,"8,9,11,12,40,44",,08 09 11 12 40 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-14-02-2024.html,14/02/2024
1158,Chủ Nhật,11/02/2024,,"7,18,31,33,35,41",,07 18 31 33 35 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-02-2024.html,11/02/2024
1157,Thứ 4,07/02/2024,,"17,21,24,25,39,42",,17 21 24 25 39 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-07-02-2024.html,07/02/2024
1156,Chủ Nhật,04/02/2024,,"9,15,21,29,33,39",,09 15 21 29 33 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-02-2024.html,04/02/2024
1155,Thứ 6,02/02/2024,,"1,15,29,31,32,34",,01 15 29 31 32 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-02-02-2024.html,02/02/2024
1154,Thứ 4,31/01/2024,,"9,11,15,35,38,41",,09 11 15 35 38 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-31-01-2024.html,31/01/2024
1153,Chủ Nhật,28/01/2024,,"3,23,25,29,36,41",,03 23 25 29 36 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-01-2024.html,28/01/2024
1152,Thứ 6,26/01/2024,,"8,19,22,27,31,35",,08 19 22 27 31 35,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-01-2024.html,26/01/2024
1151,Thứ 4,24/01/2024,,"7,27,30,36,39,45",,07 27 30 36 39 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-01-2024.html,24/01/2024
1150,Chủ Nhật,21/01/2024,,"11,20,22,23,26,31",,11 20 22 23 26 31,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-01-2024.html,21/01/2024
1149,Thứ 6,19/01/2024,,"8,15,20,24,43,44",,08 15 20 24 43 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-01-2024.html,19/01/2024
1148,Thứ 4,17/01/2024,,"14,19,21,36,43,44",,14 19 21 36 43 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-01-2024.html,17/01/2024
1147,Chủ Nhật,14/01/2024,,"2,8,19,20,24,42",,02 08 19 20 24 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-14-01-2024.html,14/01/2024
1146,Thứ 6,12/01/2024,,"10,11,20,27,39,43",,10 11 20 27 39 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-12-01-2024.html,12/01/2024
1145,Thứ 4,10/01/2024,,"10,12,18,19,29,43",,10 12 18 19 29 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-01-2024.html,10/01/2024
1144,Chủ Nhật,07/01/2024,,"3,4,15,18,36,45",,03 04 15 18 36 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-07-01-2024.html,07/01/2024
1143,Thứ 6,05/01/2024,,"9,16,29,31,33,42",,09 16 29 31 33 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-05-01-2024.html,05/01/2024
1142,Thứ 4,03/01/2024,,"9,14,19,20,29,40",,09 14 19 20 29 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-01-2024.html,03/01/2024
1141,Chủ Nhật,31/12/2023,,"13,14,23,25,34,44",,13 14 23 25 34 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-31-12-2023.html,31/12/2023
1140,Thứ 6,29/12/2023,,"16,20,22,35,37,39",,16 20 22 35 37 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-12-2023.html,29/12/2023
1139,Thứ 4,27/12/2023,,"8,16,23,34,36,39",,08 16 23 34 36 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-12-2023.html,27/12/2023
1138,Chủ Nhật,24/12/2023,,"1,2,5,24,40,43",,01 02 05 24 40 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-12-2023.html,24/12/2023
1137,Thứ 6,22/12/2023,,"2,12,14,16,34,38",,02 12 14 16 34 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-12-2023.html,22/12/2023
1136,Thứ 4,20/12/2023,,"5,15,16,21,22,32",,05 15 16 21 22 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-12-2023.html,20/12/2023
1135,Chủ Nhật,17/12/2023,,"3,7,18,20,31,33",,03 07 18 20 31 33,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-12-2023.html,17/12/2023
1134,Thứ 6,15/12/2023,,"1,5,10,11,20,40",,01 05 10 11 20 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-12-2023.html,15/12/2023
1133,Thứ 4,13/12/2023,,"3,7,11,20,28,44",,03 07 11 20 28 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-12-2023.html,13/12/2023
1132,Chủ Nhật,10/12/2023,,"9,10,11,17,41,44",,09 10 11 17 41 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-12-2023.html,10/12/2023
1131,Thứ 6,08/12/2023,,"11,15,16,17,42,43",,11 15 16 17 42 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-12-2023.html,08/12/2023
1130,Thứ 4,06/12/2023,,"18,19,20,29,41,42",,18 19 20 29 41 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-12-2023.html,06/12/2023
1129,Chủ Nhật,03/12/2023,,"12,14,16,21,29,32",,12 14 16 21 29 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-12-2023.html,03/12/2023
1128,Thứ 6,01/12/2023,,"5,10,14,21,27,32",,05 10 14 21 27 32,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-12-2023.html,01/12/2023
1127,Thứ 4,29/11/2023,,"9,22,24,32,38,39",,09 22 24 32 38 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-11-2023.html,29/11/2023
1126,Chủ Nhật,26/11/2023,,"4,6,15,23,25,36",,04 06 15 23 25 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-11-2023.html,26/11/2023
1125,Thứ 6,24/11/2023,,"5,18,22,34,41,45",,05 18 22 34 41 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-11-2023.html,24/11/2023
1124,Thứ 4,22/11/2023,,"15,18,20,23,37,39",,15 18 20 23 37 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-11-2023.html,22/11/2023
1123,Chủ Nhật,19/11/2023,,"1,3,19,20,26,34",,01 03 19 20 26 34,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-11-2023.html,19/11/2023
1122,Thứ 6,17/11/2023,,"16,20,25,26,36,41",,16 20 25 26 36 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-11-2023.html,17/11/2023
1121,Thứ 4,15/11/2023,,"2,3,12,16,30,37",,02 03 12 16 30 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-11-2023.html,15/11/2023
1120,Chủ Nhật,12/11/2023,,"2,4,10,15,27,31",,02 04 10 15 27 31,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-12-11-2023.html,12/11/2023
1119,Thứ 6,10/11/2023,,"1,4,10,13,14,44",,01 04 10 13 14 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-11-2023.html,10/11/2023
1118,Thứ 4,08/11/2023,,"7,20,23,27,31,33",,07 20 23 27 31 33,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-11-2023.html,08/11/2023
1117,Chủ Nhật,05/11/2023,,"1,13,16,18,23,25",,01 13 16 18 23 25,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-05-11-2023.html,05/11/2023
1116,Thứ 6,03/11/2023,,"2,7,9,13,22,38",,02 07 09 13 22 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-11-2023.html,03/11/2023
1115,Thứ 4,01/11/2023,,"1,3,15,16,23,28",,01 03 15 16 23 28,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-11-2023.html,01/11/2023
1114,Chủ Nhật,29/10/2023,,"5,7,15,21,32,45",,05 07 15 21 32 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-10-2023.html,29/10/2023
1113,Thứ 6,27/10/2023,,"7,10,14,21,26,37",,07 10 14 21 26 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-10-2023.html,27/10/2023
1112,Thứ 4,25/10/2023,,"4,6,13,25,31,41",,04 06 13 25 31 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-10-2023.html,25/10/2023
1111,Chủ Nhật,22/10/2023,,"10,13,14,19,35,40",,10 13 14 19 35 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-10-2023.html,22/10/2023
1110,Thứ 6,20/10/2023,,"4,16,21,24,26,37",,04 16 21 24 26 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-10-2023.html,20/10/2023
1109,Thứ 4,18/10/2023,,"2,7,18,20,24,29",,02 07 18 20 24 29,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-10-2023.html,18/10/2023
1108,Chủ Nhật,15/10/2023,,"4,5,9,27,34,39",,04 05 09 27 34 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-10-2023.html,15/10/2023
1107,Thứ 6,13/10/2023,,"1,11,16,39,40,45",,01 11 16 39 40 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-10-2023.html,13/10/2023
1106,Thứ 4,11/10/2023,,"5,10,30,40,44,45",,05 10 30 40 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-10-2023.html,11/10/2023
1105,Chủ Nhật,08/10/2023,,"4,16,22,28,33,39",,04 16 22 28 33 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-10-2023.html,08/10/2023
1104,Thứ 6,06/10/2023,,"18,19,24,28,33,40",,18 19 24 28 33 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-10-2023.html,06/10/2023
1103,Thứ 4,04/10/2023,,"7,17,21,32,40,45",,07 17 21 32 40 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-10-2023.html,04/10/2023
1102,Chủ Nhật,01/10/2023,,"2,11,13,16,41,43",,02 11 13 16 41 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-10-2023.html,01/10/2023
1101,Thứ 6,29/09/2023,,"2,8,24,27,30,43",,02 08 24 27 30 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-29-09-2023.html,29/09/2023
1100,Thứ 4,27/09/2023,,"3,12,22,30,37,39",,03 12 22 30 37 39,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-09-2023.html,27/09/2023
1099,Chủ Nhật,24/09/2023,,"4,8,23,27,30,36",,04 08 23 27 30 36,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-24-09-2023.html,24/09/2023
1098,Thứ 6,22/09/2023,,"2,16,17,18,20,23",,02 16 17 18 20 23,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-22-09-2023.html,22/09/2023
1097,Thứ 4,20/09/2023,,"3,6,20,39,40,41",,03 06 20 39 40 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-09-2023.html,20/09/2023
1096,Chủ Nhật,17/09/2023,,"6,10,15,36,39,43",,06 10 15 36 39 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-17-09-2023.html,17/09/2023
1095,Thứ 6,15/09/2023,,"2,3,5,7,10,38",,02 03 05 07 10 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-15-09-2023.html,15/09/2023
1094,Thứ 4,13/09/2023,,"2,4,7,9,12,13",,02 04 07 09 12 13,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-09-2023.html,13/09/2023
1093,Chủ Nhật,10/09/2023,,"4,5,10,18,27,40",,04 05 10 18 27 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-10-09-2023.html,10/09/2023
1092,Thứ 6,08/09/2023,,"6,8,14,29,39,42",,06 08 14 29 39 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-08-09-2023.html,08/09/2023
1091,Thứ 4,06/09/2023,,"3,4,12,18,19,29",,03 04 12 18 19 29,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-09-2023.html,06/09/2023
1090,Chủ Nhật,03/09/2023,,"1,33,38,39,44,45",,01 33 38 39 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-03-09-2023.html,03/09/2023
1089,Thứ 6,01/09/2023,,"9,14,16,19,28,41",,09 14 16 19 28 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-01-09-2023.html,01/09/2023
1088,Thứ 4,30/08/2023,,"13,17,20,28,30,33",,13 17 20 28 30 33,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-30-08-2023.html,30/08/2023
1087,Chủ Nhật,27/08/2023,,"24,27,30,37,44,45",,24 27 30 37 44 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-27-08-2023.html,27/08/2023
1086,Thứ 6,25/08/2023,,"8,18,30,32,38,45",,08 18 30 32 38 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-25-08-2023.html,25/08/2023
1085,Thứ 4,23/08/2023,,"5,14,18,19,29,31",,05 14 18 19 29 31,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-23-08-2023.html,23/08/2023
1084,Chủ Nhật,20/08/2023,,"7,8,22,23,30,42",,07 08 22 23 30 42,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-20-08-2023.html,20/08/2023
1083,Thứ 6,18/08/2023,,"12,19,21,22,34,38",,12 19 21 22 34 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-18-08-2023.html,18/08/2023
1082,Thứ 4,16/08/2023,,"5,7,25,31,39,41",,05 07 25 31 39 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-16-08-2023.html,16/08/2023
1081,Chủ Nhật,13/08/2023,,"9,15,23,33,35,40",,09 15 23 33 35 40,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-13-08-2023.html,13/08/2023
1080,Thứ 6,11/08/2023,,"16,21,26,29,30,45",,16 21 26 29 30 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-11-08-2023.html,11/08/2023
1079,Thứ 4,09/08/2023,,"18,22,30,31,39,41",,18 22 30 31 39 41,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-09-08-2023.html,09/08/2023
1078,Chủ Nhật,06/08/2023,,"4,15,19,25,30,38",,04 15 19 25 30 38,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-06-08-2023.html,06/08/2023
1077,Thứ 6,04/08/2023,,"2,12,22,38,41,44",,02 12 22 38 41 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-04-08-2023.html,04/08/2023
1076,Thứ 4,02/08/2023,,"4,21,27,38,39,44",,04 21 27 38 39 44,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-02-08-2023.html,02/08/2023
1075,Chủ Nhật,30/07/2023,,"3,17,23,33,42,45",,03 17 23 33 42 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-30-07-2023.html,30/07/2023
1074,Thứ 6,28/07/2023,,"7,27,28,30,31,35",,07 27 28 30 31 35,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-28-07-2023.html,28/07/2023
1073,Thứ 4,26/07/2023,,"4,13,18,21,29,37",,04 13 18 21 29 37,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-26-07-2023.html,26/07/2023
1072,Chủ Nhật,23/07/2023,,"14,17,23,32,33,43",,14 17 23 32 33 43,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-23-07-2023.html,23/07/2023
1071,Thứ 6,21/07/2023,,"9,20,31,33,36,45",,09 20 31 33 36 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-21-07-2023.html,21/07/2023
1070,Thứ 4,19/07/2023,,"6,10,19,37,43,45",,06 10 19 37 43 45,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-19-07-2023.html,19/07/2023
1069,Chủ Nhật,16/07/2023,,"1,7,16,18,21,29",,01 07 16 18 21 29,Mega_6/45,https://www.minhchinh.com/xs-mega-645-ket-qua-mega-645-ngay-16-07-2023.html,16/07/2023
